,bus_id,search_name,name,search_address,address_y,max_seats,risk_level,inspect_score,price,cat_1,cat_2,zip_code,latitude,longitude,review_count,rating,closed
50,alex-burgers-los-angeles,ALEX BURGERS,Alex Burgers,4767 E OLYMPIC BLVD,4767 E OLYMPIC BLVD,30,3,90.0,$,burgers,burgers,90022,34.01816,-118.16593,52,4.0,False
51,alex-sandwich-los-angeles,ALEX SANDWICH,Alex Sandwich,1242 S SANTEE ST,1242 S SANTEE ST,30,3,85.0,$,sandwiches,sandwiches,90015,34.0352706909,-118.257843018,18,4.5,False
52,alex-sandwich-los-angeles,ALEX SANDWICH SHOP,Alex Sandwich,1242 S SANTEE ST,1242 S SANTEE ST,30,3,92.0,$,sandwiches,sandwiches,90015,34.0352706909,-118.257843018,18,4.5,False
53,brite-spot-los-angeles,ALEXANDERS BRITE SPOT,Brite Spot,1918 W SUNSET BLVD,1918 W SUNSET BLVD,150,3,97.0,$$,tradamerican,southern,90026,34.0778943,-118.260836,943,3.0,False
54,alfred-tea-room-west-hollywood,ALFRED TEA ROOM,Alfred Tea Room,705 N ALFRED ST,705 N ALFRED ST,30,2,95.0,$$,bubbletea,coffee,90069,34.083866,-118.375434,261,3.5,False
55,lambertos-mexican-food-los-angeles,ALFREDOS MEXICAN FOOD,Lamberto's Mexican Food,894 W MANCHESTER AVE,894 W MANCHESTER AVE,30,3,90.0,$,mexican,mexican,90044,33.9597663879,-118.289031982,47,3.5,False
56,ali-baba-snack-shop-los-angeles,ALI BABA,Ali Baba Snack Shop,320 W 9TH ST,320 W 9TH ST,30,3,92.0,$,mexican,mexican,90015,34.0433499,-118.25804,2,4.5,True
57,alibi-room-los-angeles-2,ALIBI ROOM,Alibi Room,12236 W WASHINGTON BLVD,12236 W WASHINGTON BLVD,150,3,94.0,$$,lounges,korean,90066,33.996925354,-118.426567078,1336,4.0,False
58,alikis-greek-taverna-los-angeles,ALIKIS GREEK TAVERNA,Aliki's Greek Taverna,5862 ARBOR VITAE ST,5862 ARBOR VITAE ST,60,3,90.0,$$,greek,mediterranean,90045,33.9524703946,-118.385242002,621,4.0,False
59,alimento-los-angeles-2,ALIMENTO,Alimento,1710 SILVER LAKE BLVD,1710 SILVER LAKE BLVD,60,3,90.0,$$$,italian,italian,90026,34.089424,-118.268097,282,3.5,False
60,all-about-the-bread-los-angeles,ALL ABOUT THE BREAD,All About the Bread,7111 MELROSE AVE,7111 MELROSE AVE,30,2,92.0,$,sandwiches,sandwiches,90046,34.0836847012,-118.344758973,809,4.0,False
61,all-india-cafe-west-la-los-angeles,ALL INDIA CAFE,All India Cafe - West LA,12113 SANTA MONICA BLVD,12113 SANTA MONICA BLVD,60,3,100.0,$$,indpak,indpak,90025,34.0403521,-118.4638203,357,4.0,False
62,almaza-los-angeles-2,ALMAZA,Almaza,8905 VENICE BLVD,8905 VENICE BLVD,150,3,93.0,$$,mediterranean,desserts,90034,34.02946,-118.389053,361,4.0,False
63,alta-california-fonda-los-angeles-2,ALTA CALIFORNIA FONDA,Alta California Fonda,5303 W PICO BLVD,5303 W PICO BLVD,60,3,91.0,$$,mexican,mexican,90019,34.048595,-118.353858,162,4.5,False
64,the-bazaar-by-jose-andres-beverly-hills-3,ALTITUDE BAR,The Bazaar by Jose Andres,465 S LA CIENEGA BLVD,465 S LA CIENEGA BLVD,60,1,98.0,$$$$,spanish,venues,90048,34.069973601,-118.376559019,3209,4.0,False
65,alvarez-bakery-los-angeles,ALVAREZ BAKERY,Alvarez Bakery,4125 CITY TERRACE DR,4125 CITY TERRACE DR,30,2,91.0,$,bakeries,bakeries,90063,34.0562171936,-118.176986694,9,3.0,False
66,amalfi-ristorante-and-bar-los-angeles,AMALFI,Amalfi Ristorante & Bar,143 N LA BREA AVE,143 N LA BREA AVE,150,3,90.0,$$,italian,italian,90036,34.0747799,-118.34437,357,3.5,True
67,amandine-patisserie-cafe-los-angeles,AMANDINE,Amandine Patisserie Cafe,12225 WILSHIRE BLVD,12225 WILSHIRE BLVD,60,3,96.0,$$,bakeries,sandwiches,90025,34.04331,-118.46899,1193,4.0,False
68,amboy-los-angeles,AMBOY,Amboy,727 N BROADWAY,727 N BROADWAY,30,3,94.0,$,filipino,filipino,90012,34.0613261,-118.2391584,38,4.0,True
69,amelia-bakery-and-cafe-los-angeles-2,AMELIA,Amelia Bakery & Cafe,7122 BEVERLY BLVD,7122 BEVERLY BLVD,60,3,92.0,$$,bakeries,breakfast_brunch,90036,34.0757331848,-118.344825745,47,4.0,True
70,american-tea-room-los-angeles,AMERICAN TEA ROOM,American Tea Room,909 S SANTA FE AVE,909 S SANTA FE AVE,30,3,95.0,$$,tea,tea,90021,34.0322685242,-118.230377197,118,4.5,False
71,amy-bakery-los-angeles,AMYS BAKERY,Amy Bakery,633 N SPRING ST,633 N SPRING ST,30,2,94.0,$,bakeries,bakeries,90012,34.0587559,-118.2386076,15,4.0,False
72,anarbagh-los-angeles,ANARBAGH RESTAURANT,Anarbagh,4656 FRANKLIN AVE,4656 FRANKLIN AVE,30,3,92.0,$$,indpak,vegetarian,90027,34.1053652018,-118.291264102,134,4.0,False
73,andante-coffee-roasters-los-angeles-2,ANDANTE COFFEE ROASTERS,Andante Coffee Roasters,2201 W SUNSET BLVD,2201 W SUNSET BLVD,30,2,92.0,$,coffee,coffee,90026,34.07778,-118.26551,36,4.0,False
74,andres-pizza-los-angeles,ANDRES PIZZA,Andre's Pizza,7038 HOLLYWOOD BLVD,7038 HOLLYWOOD BLVD,60,3,90.0,$,pizza,pizza,90028,34.10129,-118.34288,47,3.0,False
75,andys-pizzeria-and-mexican-food-los-angeles,ANDY PIZZA,Andy's Pizzeria And Mexican Food,6700 S CENTRAL AVE,6700 S CENTRAL AVE,30,3,90.0,$$,pizza,mexican,90001,33.979045,-118.256073,30,4.0,False
76,andys-bakery-los-angeles,ANDYS BAKERY,Andy's Bakery,6021 N FIGUEROA ST,6021 N FIGUEROA ST,30,2,92.0,$,bakeries,bakeries,90042,34.1114857,-118.1892341,3,4.5,False
77,angelicas-bakery-and-pizza-los-angeles,ANGELICAS BAKERY,Angelica's Bakery & Pizza,1623 E CESAR E CHAVEZ AVE,1623 E CESAR E CHAVEZ AVE,30,2,92.0,$,bakeries,bakeries,90033,34.0516815186,-118.21786499,2,3.0,False
78,angelini-osteria-los-angeles,ANGELINI OSTERIA,Angelini Osteria,7313 BEVERLY BLVD,7313 BEVERLY BLVD,60,3,97.0,$$$,italian,seafood,90036,34.07642,-118.34909,1371,4.5,False
79,angelinos-bakery-los-angeles,ANGELINOS DONUT,Angelino's Bakery,1522 W SUNSET BLVD,1522 W SUNSET BLVD,30,2,95.0,$,donuts,icecream,90026,34.075922,-118.2557857,23,4.5,False
80,angelinos-pizza-los-angeles,ANGELINOS PIZZA,Angelino's Pizza,2201 W WASHINGTON BLVD,2201 W WASHINGTON BLVD,30,3,95.0,$,pizza,pizza,90018,34.04027,-118.3094,25,3.5,False
81,angry-chef-grill-los-angeles,ANGRY CHEF,Angry Chef Grill,404 S FIGUEROA ST,404 S FIGUEROA ST,150,3,93.0,$$,newamerican,newamerican,90071,34.0525627136,-118.256011963,82,4.0,False
